Region,Source_Layer,Country (Short Form),Name,Alternate Name(s),USGS ID,Commodity Type,Commodity,Commodity Product,Status,Facility Type,Deposit Type,Annual Production Capacity,Capacity Units,Capacity Notes,Major Operating Company,Owner,Equity Owner 2,Equity Owner 3,Equity Owner 4,ADM1 Name,Location Description,DD Latitude,DD Longitude,Location Accuracy,Reference Year,Commodity 2,Commodity 3,Commodity 4,Commodity 5,Commodity 6,Commodity 7,Commodity 8,Commodity 9,Commodity 10,Commodity 11,Label,Multiple Commodities,Multiple Products,Product Notes,Year,Source Year,Project Active,Shared Capacity,Estimated Capacity,Facility Comments,Critical Commodity,USGS MRData ID,USGS WMED ID,Owner Type,Owner Share,Equity Owner 5,Equity Owner 6,Data Source,GIS Data Source,Location Source 1,Location Source 2,Operation Source 1,Operation Source 2,Operating Stage Source 1,Operating Stage Source 2,Company Source 1,Company Source 2,Commodity Source 1,Commodity Source 2,Capacity Source 1,Capacity Source 2,Other Source,Source notes,Source ID,ROWID,ISO_CC,FACID_NUM
Africa,AFR_Mineral_Facilities,Madagascar,Gallois Mine,,MDG007,Industrial,Graphite,<null>,Assumed Active,Mines and Quarries,,150000.0,mt,<null>,Etablissements Gallois S.A.,<null>,<null>,<null>,<null>,Toamasina,Near Tamatave,-19.230198,48.945072,A,2018.0,,,,,,,,,,,MDG7,N,N,,2018.0,,,<null>,,Another mining site associated with facility can be found directly to the west of Toamasina.,,,,,,,,"USGS 2018 Minerals Yearbook, Vol. III, Madagascar Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Google Earth-104,,,,,,,,,,,,,,,,,,
Africa,AFR_Mineral_Facilities,Madagascar,Graphmada Mine,,MDG008,Industrial,Graphite,<null>,Assumed Active,Mines and Quarries,,6000.0,mt,<null>,Bass Metals Ltd.,<null>,<null>,<null>,<null>,Toamasina,<null>,-18.918806,48.991245,A,2018.0,,,,,,,,,,,MDG8,N,N,,2018.0,,,<null>,,<null>,,,,,,,,"USGS 2018 Minerals Yearbook, Vol. III, Madagascar Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Google Earth-105,,,,,,,,,,,,,,,,,,
Africa,AFR_Mineral_Facilities,Madagascar,Mine in Atsinanana Region,,MDG023,Industrial,Graphite,<null>,Assumed Active,Mines and Quarries,,10000.0,mt,<null>,Power Stand Development (H.K.) Ltd.,<null>,<null>,<null>,<null>,Toamasina,Atsinanana Region,-18.445449,49.218047,A,2018.0,,,,,,,,,,,MDG23,N,N,,2018.0,,,<null>,,<null>,,,,,,,,"USGS 2018 Minerals Yearbook, Vol. III, Madagascar Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Google Earth,,,,,,,,,,,,,,,,,,
Africa,AFR_Mineral_Facilities,Madagascar,Sahamamy-Sahasoa Mine,,MDG044,Industrial,Graphite,<null>,Assumed Active,Mines and Quarries,,3000.0,mt,<null>,Tirupati Graphite Plc,<null>,<null>,<null>,<null>,Toamasina,<null>,-18.568337,48.9757,A,2018.0,,,,,,,,,,,MDG45,N,N,,2018.0,,,<null>,,<null>,,,,,,,,"USGS 2018 Minerals Yearbook, Vol. III, Madagascar Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Google Earth-172,,,,,,,,,,,,,,,,,,
Africa,AFR_Mineral_Facilities,Mozambique,Ancuabe Graphite Mine,,MOZ001,Industrial,Graphite,Graphite,Assumed Active,Mines and Quarries,,9000.0,mt,<null>,GK Ancuabe Graphite Mine S.A.,Graphit Kropfmühl GmbH [90%],"Empresa Moçambicana de Exploração Mineira, S.A. (EMEM) [10%]",<null>,<null>,Cabo Delgado,Cabo Delgado Province,-13.004066,40.000666,A,2018.0,,,,,,,,,,,MOZ1,N,N,,2018.0,,,<null>,,<null>,,,,,,,,"USGS 2018 Minerals Yearbook, Vol. III, Mozambique Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",SNL,,,,,,,,,,,,,,,,,,
Africa,AFR_Mineral_Facilities,Mozambique,Balama Graphite Operation,,MOZ002,Industrial,Graphite,Graphite,Assumed Active,Mines and Quarries,,350.0,mt,<null>,Syrah Resources Ltd.,Twigg Exploration and Mining Limitada [100%],<null>,<null>,<null>,Cabo Delgado,Cabo Delgado Province,-13.309337,38.661168,A,2018.0,,,,,,,,,,,MOZ2,N,N,,2018.0,,,<null>,,<null>,,,,,,,,"USGS 2018 Minerals Yearbook, Vol. III, Mozambique Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",SNL,,,,,,,,,,,,,,,,,,
Africa,AFR_Mineral_Facilities,Namibia,Okanjande Mine,,NAM017,Industrial,Graphite,Graphite,C&M,Mines and Quarries,,20000.0,mt,<null>,Imerys Gecko Holdings (Pty) Ltd.,Imerys Group [51%],Gecko Namibia (Pty) Ltd. [49%],<null>,<null>,Otjozondjupa,14 kilometers south of Otjiwarongo,-20.599951,16.622975,A,2018.0,,,,,,,,,,,NAM17,N,N,,2018.0,,,<null>,,Facility on care-and-maintenance status.,,,,,,,,"USGS 2018 Minerals Yearbook, Vol. III, Namibia Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",Google Earth,,,,,,,,,,,,,,,,,,
Africa,AFR_Mineral_Facilities,Zimbabwe,Lynx Graphite Mine,,ZWE043,Industrial,Graphite,Graphite,Assumed Active,Mines and Quarries,,-999.0,,<null>,Zimbabwe German Graphite Mines (Private) Ltd.,Graphite Kropmühl division of AMG Advanced Metallurgical Group N.V. [50%],Zimbabwe Mining Development Corp. (ZMDC) [50%],<null>,<null>,Mashonaland West,Karoi,-16.597273,29.453626,A,2018.0,,,,,,,,,,,ZWE43,N,N,,2018.0,,,<null>,,<null>,,,,,,,,"USGS 2018 Minerals Yearbook, Vol. III, Zimbabwe Country Chapter, Table 2; various other USGS, industry, geologic research, and company reports; various mining databases",USGS Global GeoDB,,,,,,,,,,,,,,,,,,
Africa,AFR_Mineral_Deposits,Kenya,Chawia, ,KEd007,,Graphite,,,,"Crystalline Graphite, metamorphic",,,,,,,,,Taita Taveta,,-3.4648,38.38447,,,,,,,,,,,,,KEd7,,,,,,,,,,,1114.0,,,,,,USGS PP1802 and accompanying USGS Data Release (https://mrdata.usgs.gov/pp1802/); USGS OFR2005-1294 (https://mrdata.usgs.gov/major-deposits/),,,,,,,,,,,,,,,,,,,
Africa,AFR_Mineral_Deposits,Kenya,Oldoinyo,Nyiro,KEd008,,Graphite,,,,"Crystalline Graphite, metamorphic",,,,,,,,,Isiolo,,0.74994,37.0,,,,,,,,,,,,,KEd8,,,,,,,,,,,1115.0,,,,,,USGS PP1802 and accompanying USGS Data Release (https://mrdata.usgs.gov/pp1802/); USGS OFR2005-1294 (https://mrdata.usgs.gov/major-deposits/),,,,,,,,,,,,,,,,,,,
