P_ID_NUMBER,NAME,REGION,LATITUDE,LONGITUDE,DEPOSIT_TYPE,COMMODITY,REMAINING_RESOURCE,PRODUCTION_CAPACITY,STATUS,DISCOVERY_YEAR,START_YEAR,DEVELOPMENT_PROBABILITY,GRADE,RECOVERY,BROWNFIELD_TONNAGE_FACTOR,BROWNFIELD_GRADE_FACTOR,VALUE_NET,VALUE_RECOVERY_NET,MINE_COST_MODEL,MINE_COST_A,MINE_COST_B,MINE_COST_C,MINE_COST_D,REVENUE_MODEL,REVENUE_A,REVENUE_B,REVENUE_C,REVENUE_D,COST_MODEL,COST_A,COST_B,COST_C,COST_D
0,Gallois Mine,Madagascar,-19.230198,48.945072,Flake graphite,graphite,,150000.0,2,,2017.0,1.0,,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
1,Graphmada Mine,Madagascar,-18.918806,48.991245,Flake graphite,graphite,61900000.0,6000.0,2,,,1.0,0.045,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
2,Mine in Atsinanana Region,Madagascar,-18.445449,49.218047,Flake graphite,graphite,,63000.0,2,,2021.0,1.0,,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
3,Sahamamy-Sahasoa Mine,Madagascar,-18.568337,48.9757,Flake graphite,graphite,,21000.0,2,,2019.0,1.0,,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
4,Ancuabe Graphite Mine,Mozambique,-13.004066,40.000666,Flake graphite,graphite,71000000.0,9000.0,2,,2017.0,1.0,0.0646,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
5,Balama Graphite Operation,Mozambique,-13.309337,38.661168,Flake graphite,graphite,72300000.0,356000.0,2,,2017.0,1.0,0.1,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
6,Okanjande Mine,Namibia,-20.599951,16.622975,Flake graphite,graphite,60400000.0,31000.0,1,,2024.0,0.25,0.0489,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
7,Lynx Graphite Mine,Zimbabwe,-16.597273,29.453626,Flake graphite,graphite,,,2,,,1.0,,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
8,Chawia,Kenya,-3.4648,38.38447,Flake graphite,graphite,,,0,,,0.1,,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
9,Oldoinyo,Kenya,0.74994,37.0,Flake graphite,graphite,,,0,,,0.1,,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
10,Ambatomitamba Sahanovo Area,Madagascar,-18.34688,49.10105,Flake graphite,graphite,,,0,,,0.1,,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
11,Perinet,Madagascar,-18.93014,48.45106,Flake graphite,graphite,,,0,,,0.1,,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
12,Gumbu Graphite Mine,South Africa,-22.31516,30.66667,Flake graphite,graphite,,,0,,,0.1,,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
13,Malonga Graphite Mine,South Africa,-22.64848,30.88333,Flake graphite,graphite,,,0,,,0.1,,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
14,Lynx Mine,Zimbabwe,-16.43043,29.30134,Flake graphite,graphite,,,0,,,0.1,,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
15,Ampangadiatany,Madagascar,-19.408,48.891,Flake graphite,graphite,,,0,,,0.1,,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
16,Vatomandry Area,Madagascar,-19.341,48.945,Flake graphite,graphite,,,0,,,0.1,,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
17,Sahamamy,Madagascar,-18.5833,48.9167,Flake graphite,graphite,,,0,,,0.1,,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
18,Marovinsky,Madagascar,-19.2333,48.95,Flake graphite,graphite,,,0,,,0.1,,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
19,Gargaresh,Libya,32.8251,12.9676,Flake graphite,graphite,,,0,,,0.1,,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
20,Ambatomitamba,Madagascar,-18.35,48.9833,Flake graphite,graphite,,,0,,,0.1,,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
21,Andasifahatelo Mine,Madagascar,-18.9,48.4333,Flake graphite,graphite,,,0,,,0.1,,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
22,Antsirakambo,Madagascar,-18.4833,49.15,Flake graphite,graphite,,,0,,,0.1,,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
23,Antsiribe,Madagascar,-18.2667,49.1333,Flake graphite,graphite,,,0,,,0.1,,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
24,Faliarano,Madagascar,-18.8833,48.4167,Flake graphite,graphite,,,0,,,0.1,,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
25,Sahanavo,Madagascar,-18.45,48.9167,Flake graphite,graphite,,,0,,,0.1,,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
26,Tamataue,Madagascar,-18.1667,49.3833,Flake graphite,graphite,,,0,,,0.1,,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
27,Tsaravoniany,Madagascar,-18.75,48.4333,Flake graphite,graphite,,,0,,,0.1,,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
28,Lynx,Zimbabwe,-16.6,29.43333,Flake graphite,graphite,,,0,,,0.1,,0.85,0.05,1,,,fixed,0,0,0,0,contained_value,0,0,0,0,contained_value,0,0,0,0
